reported_year,race_bias,ethnicity_bias
2021,Black,None
2021,Black,None
2021,Black,None
2021,East/SE Asian,None
2022,East/SE Asian,None
2021,East/SE Asian,Chinese
2021,East/SE Asian,None
2021,Black,None
2021,West Asian/Middle Eastern,Afghan
2021,White,None
2021,East/SE Asian,Korean
2021,South Asian,Indian
2021,West Asian/Middle Eastern,Israeli
2021,Black,None
2021,West Asian/Middle Eastern,Arab
2021,Black,None
2021,Black,None
2021,East/SE Asian,None
2021,South Asian,None
2021,East/SE Asian,None
2021,Black,None
2021,Black,None
2021,West Asian/Middle Eastern,Iranian
2021,Black,None
2021,East/SE Asian,None
2021,East/SE Asian,None
2021,East/SE Asian,None
2021,Black,None
2021,East/SE Asian,None
2021,East/SE Asian,Korean
2021,Black,None
2021,Black,None
2021,Black,None
2021,White,None
2021,South Asian,Indian
2021,East/SE Asian,Chinese
2021,East/SE Asian,Chinese
2021,South Asian,None
2021,Black,None
2021,East/SE Asian,Chinese
2021,Black,None
2021,Black,None
2022,Black,None
2021,South Asian,None
2021,Black,None
2021,Black,None
2022,Black,None
2021,Black,None
2021,Black,None
2021,Black,None
2021,Black,None
2022,Black,None
2022,East/SE Asian,None
2022,Black,None
2022,Black,None
2022,Black,None
2022,Black,None
2022,East/SE Asian,None
2022,Black,None
2022,West Asian/Middle Eastern,Arab
2022,East/SE Asian,Filipino
2022,Black,None
2022,East/SE Asian,None
2022,Black,None
2022,Black,None
2022,White,Ukrainian
2022,East/SE Asian,None
2022,Black,None
2022,Black,None
2022,Black,None
2022,Black,None
2022,Black,None
2022,Black,None
2022,Black,None
2022,White,Russian
2022,White,Ukrainian
2022,White,Ukrainian
2022,White,Ukrainian
2022,White,Ukrainian
2022,Black,None
2022,White,Ukrainian
2022,South Asian,None
2022,Other/Multiracial,None
2022,White,Russian
2022,Black,None
2022,White,Ukrainian
2022,South Asian,None
2022,Latin American,None
2022,White,Ukrainian
2022,East/SE Asian,None
2022,Other/Multiracial,None
2022,Black,None
2022,Black,None
2022,Black,None
2022,White,Russian
2022,East/SE Asian,Chinese
2022,East/SE Asian,None
2022,East/SE Asian,Korean
2022,Black,None
2022,South Asian,Indian
2022,Black,None
2022,South Asian,Indian
2022,Black,None
2022,Black,None
2022,Black,None
2022,Other/Multiracial,None
2022,Black,None
2022,Black,None
2022,Black,None
2022,Black,None
2022,Black,None
2022,East/SE Asian,None
2022,Black,None
2022,Black,None
2022,Black,None
2022,Black,None
2022,East/SE Asian,None
2022,Black,None
2022,Black,None
2022,Other/Multiracial,Other Ethnicity not mentioned
2022,Black,None
2022,East/SE Asian,None
2022,Other/Multiracial,Other Ethnicity not mentioned
2022,Black,None
2022,East/SE Asian,None
2022,Black,None
2022,Black,None
2022,South Asian,Indian
2022,Other/Multiracial,None
2022,Black,None
2022,Black,None
2022,Black,None
2022,Black,None
2022,Black,None
2022,Black,None
2022,Other/Multiracial,None
2022,Other/Multiracial,Other Ethnicity not mentioned
2022,Black,None
2022,Black,None
2022,White,Ukrainian
2022,South Asian,None
2022,Black,None
2022,Other/Multiracial,None
2022,Black,None
2022,South Asian,None
2022,Other/Multiracial,None
2022,East/SE Asian,None
2022,Other/Multiracial,African
2022,Black,None
2022,Black,None
2022,South Asian,Indian
2022,Other/Multiracial,None
2022,East/SE Asian,Chinese
2022,Latin American,Mexican
2022,Black,None
2022,Black,None
2022,Other/Multiracial,"Indian, Filipino"
2022,South Asian,None
2022,Black,None
2022,Other/Multiracial,None
2022,Black,None
2022,Black,None
2022,East/SE Asian,Chinese
2022,Black,None
2022,Black,None
2022,Black,None
2022,South Asian,None
2022,South Asian,None
2022,Black,None
2022,Black,None
2022,East/SE Asian,None
2022,Black,None
2022,Black,None
2022,Black,None
2022,Latin American,Latino
2023,Black,None
2023,Latin American,Mexican
2023,South Asian,Indian
2023,Black,None
2023,East/SE Asian,Chinese
2023,Black,None
2023,Other/Multiracial,None
2023,East/SE Asian,Japanese
2023,White,Ukrainian
2023,Black,None
2023,Black,None
2023,South Asian,Indian
2023,Latin American,None
2023,Black,None
2023,Black,None
2023,Black,None
2023,Black,None
2023,East/SE Asian,None
2023,West Asian/Middle Eastern,Palestinian
2023,Black,Chinese
2023,Black,None
2023,Black,None
2023,Black,None
2023,South Asian,Indian
2023,Black,None
2023,East/SE Asian,Chinese
2023,South Asian,Indian
2023,Black,None
2023,Black,None
2023,South Asian,None
2023,East/SE Asian,Chinese
2023,Black,None
2023,Black,None
2023,Black,None
2023,Black,None
2023,Black,None
2023,Black,None
2023,East/SE Asian,Chinese
2023,White,None
2023,Black,None
2023,Black,None
2023,South Asian,None
2023,White,None
2023,East/SE Asian,Korean
2023,Other/Multiracial,Ukrainian
2023,Black,None
2023,Black,None
2023,Other/Multiracial,None
2023,East/SE Asian,Filipino
2023,Black,None
2023,Black,None
2023,Black,None
2023,Black,None
2023,Black,None
2023,East/SE Asian,None
2023,Black,None
2023,East/SE Asian,None
2023,East/SE Asian,Chinese
2023,Black,None
2023,Other/Multiracial,None
2023,Black,None
2023,South Asian,Indian
2023,East/SE Asian,None
2023,South Asian,None
2023,East/SE Asian,None
2023,East/SE Asian,None
2023,Black,None
2023,Black,None
2023,South Asian,None
2023,Black,None
2023,South Asian,Indian
2023,Black,None
2023,Black,None
2023,East/SE Asian,None
2023,White,Russian
2023,Black,None
2023,East/SE Asian,Chinese
2023,Black,None
2023,Black,None
2023,East/SE Asian,None
2023,Black,None
2023,Black,None
2023,White,None
2023,Black,None
2023,Black,None
2023,East/SE Asian,Chinese
2023,South Asian,Indian
2023,Black,Arab
2023,Black,None
2023,South Asian,None
2023,Black,None
2023,South Asian,Pakistani
2023,Black,None
2023,White,Ukrainian
2023,Black,None
2023,West Asian/Middle Eastern,Arab
2023,West Asian/Middle Eastern,Palestinian
2023,Black,None
2023,Black,None
2023,Other/Multiracial,None
2023,White,None
2023,Black,None
2023,Black,None
2023,West Asian/Middle Eastern,Palestinian
2023,West Asian/Middle Eastern,Israeli
2023,West Asian/Middle Eastern,Israeli
2023,West Asian/Middle Eastern,Israeli
2023,South Asian,Indian
2023,West Asian/Middle Eastern,Palestinian
2023,West Asian/Middle Eastern,Palestinian
2023,Black,None
2023,Black,None
2023,South Asian,None
2023,West Asian/Middle Eastern,Palestinian
2023,Black,None
2023,Black,None
2023,West Asian/Middle Eastern,Israeli
2023,West Asian/Middle Eastern,Palestinian
2023,Other/Multiracial,Other Ethnicity not mentioned
2023,South Asian,None
2023,Black,None
2023,West Asian/Middle Eastern,Israeli
2023,Black,None
2023,Black,None
2023,Black,None
2023,Other/Multiracial,Other Ethnicity not mentioned
2023,East/SE Asian,None
2023,West Asian/Middle Eastern,Palestinian
2023,West Asian/Middle Eastern,Palestinian
2023,South Asian,Indian
2023,Latin American,Mexican
2023,West Asian/Middle Eastern,Israeli
2023,Black,None
